No,食品名,量(g),カロリー(kcal) ,タンパク質(g),脂質(g),炭水化物(g)
1,きび,170,605,18.02,26.01,124.27
2,道明寺粉,160,595,11.36,10.08,128.64
3,米麹,200,572,11.6,30.6,118.4
4,小麦胚芽,130,554,41.6,135.72,62.79
5,米,150,534,9.15,12.15,115.65
6,コーンミール,139,505,11.54,50.04,100.64
7,グルテン粉,110,481,79.2,96.03,11.66
8,ひえ,130,477,12.61,43.29,94.12
9,押し麦,140,476,8.68,16.38,108.92
10,あわ,130,473,13.65,31.59,95.03
11,コーンフラワー,130,472,8.58,32.76,98.93
12,上新粉,130,471,8.06,10.53,102.05
13,コーングリッツ,130,462,10.66,11.7,99.32
14,もろこし,130,458,13.39,54.99,92.43
15,とうもろこし玄穀,130,455,11.18,58.5,91.78
16,白玉粉,120,443,7.56,10.8,96
17,アルファ化米,110,426,6.38,6.93,93.72
18,小麦粉,110,405,8.8,16.83,83.49
19,中力粉,110,405,9.9,17.82,82.28
20,強力粉,110,403,12.87,17.82,78.76
21,ホットケーキミックス,110,403,8.36,41.58,81.84
22,もろこし精白粒,110,400,10.45,25.74,81.51
